year,year_id,countries,country_id,regions,region_id,western_emerging,west_emerge_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,interaction_gdp,fdi_by_usa_million,interaction_us_fdi,stock_market_capitalization_gdp,interaction_stock_mkt,government_effectiveness ,rule_of_law
1982,1,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,28447,78,9146.077357,713394.0338,27537,2147886,38.1034,2972.0652,1.88,1.63
1983,2,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,32152,78,8691.518813,677938.4674,28086,2190708,46.1251,3597.7578,1.88,1.63
1984,3,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,38387,78,8179.194441,637977.1664,29265,2282670,51.2264,3995.6592,1.88,1.63
1985,4,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,43555,78,8652.216542,674872.8903,34066,2657148,72.2432,5634.9696,1.88,1.63
1986,5,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,55935,78,10611.11221,827666.7524,36974,2883972,78.6257,6132.8046,1.88,1.63
1987,6,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,75519,79,13118.58653,1036368.336,46489,3672631,91.2165,7206.1035,1.88,1.63
1988,7,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,95698,78,15987.16808,1246999.11,51734,4035252,78.1793,6097.9854,1.88,1.63
1989,8,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,103458,78,16239.2822,1266664.012,67722,5282316,87.8556,6852.7368,1.88,1.63
1990,9,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,98676,78,19095.467,1489446.426,72707,5671146,77.7416,6063.8448,1.88,1.63
1991,10,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,100085,79,19900.72665,1572157.405,79819,6305701,86.6224,6843.1696,1.88,1.63
1992,11,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,86587,80,20487.17079,1638973.663,85176,6814080,80.9456,6475.648,1.88,1.63
1993,12,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,98739,81,18389.01957,1489510.585,109208,8845848,108.3753,8778.3993,1.88,1.63
1994,13,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,98732,82,19709.2381,1616157.524,100817,8266994,100.249,8220.418,1.88,1.63
1995,14,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,116272,82,23123.17779,1896100.579,106332,8719224,99.1318,8128.8076,1.88,1.63
1996,15,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,121582,82,24332.69777,1995281.217,134559,11033838,120.9042,9914.1444,1.88,1.63
1997,16,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,129421,82,26734.56261,2192234.134,154462,12665884,132.6583,10877.9806,1.91,1.7
1998,17,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,137489,83,28214.27436,2341784.772,183035,15191905,139.237,11556.671,1.93,1.78
1999,18,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,153797,84,28669.53969,2408241.334,216638,18197592,175.631,14753.004,1.89,1.74
2000,19,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,277613,86,28149.87001,2420888.821,230762,19845532,155.4449,13368.2614,1.85,1.7
2001,20,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,197651,86,27744.50646,2386027.556,228230,19627780,131.0475,11270.085,1.84,1.69
2002,21,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,211699,86,30056.58622,2584866.415,247952,21323872,104.0191,8945.6426,1.84,1.68
2003,22,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,217841,87,34419.14791,2994465.868,277246,24120402,118.1588,10279.8156,1.81,1.7
2004,23,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,267209,87,40290.31397,3505257.315,330416,28746192,116.5084,10136.2308,1.89,1.63
2005,24,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,371350,87,42030.28661,3656634.935,351513,30581631,120.4635,10480.3245,1.77,1.57
2006,25,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,414629,87,44599.69757,3880173.689,406358,35353146,139.3407,12122.6409,1.67,1.79
2007,26,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,405543,88,50566.8266,4449880.741,426357,37519416,124.0441,10915.8808,1.65,1.74
2008,27,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,447529,88,47286.99849,4161255.867,448412,39460256,63.9195,5624.916,1.64,1.71
2009,28,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,414590,88,38713.13743,3406756.094,495382,43593616,94.0055,8272.484,1.51,1.74
2010,29,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,400435,88,39435.8399,3470353.911,501247,44109736,121.787,10717.256,1.57,1.76
2011,30,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,446077,89,42038.57225,3741432.93,485029,43167581,118.689,10563.321,1.56,1.65
2012,31,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,485785,89,42462.77157,3779186.67,537041,47796649,112.111,9977.879,1.55,1.72
2013,32,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,510795,89,43444.533,3866563.437,537714,47856546,112.111,9977.879,1.5,1.71
2014,33,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,479373,89,47425.60768,4220879.084,631666,56218274,112.111,9977.879,1.63,1.89
2015,34,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,522954,89,44974.83188,4002760.037,632327,56277103,112.111,9977.879,1.74,1.81
2016,35,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,505190,89,41064.13343,3654707.875,747425,66520825,112.111,9977.879,1.6,1.69
2017,36,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,487570,90,40361.41738,3632527.564,815059,73355310,112.111,10089.99,1.41,1.68
2018,37,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,496622,89,43043.22782,3830847.276,796564,70894196,112.111,9977.879,1.34,1.64
2019,38,United Kingdom,1,Europe,1,Western,1,London,51.5085,-0.1257,505088,89,42330.11754,3767380.461,851414,75775846,112.111,9977.879,1.44,1.6
1982,1,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,245,73,9410.347257,686955.3498,562,41026,2.1181,154.6213,1.73,1.81
1983,2,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,245,73,9537.40742,696230.7417,548,40004,2.1189,154.6797,1.73,1.81
1984,3,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,245,74,8991.06504,665338.813,534,39516,2.1853,161.7122,1.73,1.81
1985,4,Austria,2,Europe,1,Western,1,Wien (Vienna),48.2064,16.3707,245,76,9172.09676,697079.3538,509,38684,6.6318,504.0168,1.73,1.81
