year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,26191,80,11072.65845,6760,16.22462556,1.94,1.7
1983,2,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,29182,80,10680.35904,6917,21.98928446,1.94,1.7
1984,3,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,33728,80,9977.160217,6207,24.61600597,1.94,1.7
1985,4,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,37056,81,9926.129971,7552,41.26817789,1.94,1.7
1986,5,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,40717,79,13783.85011,12203,41.67718638,1.94,1.7
1987,6,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,46636,79,16709.55968,15507,35.54654207,1.94,1.7
1988,7,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,48128,79,17744.50138,16765,41.27326569,1.94,1.7
1989,8,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,56734,79,17397.69168,19160,59.79238201,1.94,1.7
1990,9,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,64671,78,21290.86038,19120,37.6418331,1.94,1.7
1991,10,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,63113,80,21732.23076,20293,51.63252849,1.94,1.7
1992,11,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,69107,82,23904.03742,20700,47.0417536,1.94,1.7
1993,12,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,72893,82,23122.41077,20911,51.40831644,1.94,1.7
1994,13,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,66600,82,24646.31431,29889,59.08256434,1.94,1.7
1995,14,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,65116,82,29258.13435,42113,63.37617263,1.94,1.7
1996,15,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,75349,82,29006.80945,54118,83.32208409,1.94,1.7
1997,16,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,84915,83,26700.53713,68619,112.4319497,2.01,1.74
1998,17,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,92298,84,27885.80838,89978,137.7102465,2.08,1.79
1999,18,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,125010,85,28263.09671,121315,155.3048886,2.07,1.78
2000,19,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,138894,86,26149.41108,115429,153.7921466,2.07,1.77
2001,20,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,145554,86,26873.27593,147687,116.6528808,2.03,1.76
2002,21,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,145596,85,29204.03983,158415,85.08393287,2,1.74
2003,22,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,146601,86,35672.2066,186366,84.42533511,2.02,1.75
2004,23,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,159601,86,40362.39478,219384,81.96697739,2.09,1.76
2005,24,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,156602,87,41979.05585,240205,86.53364036,1.94,1.76
2006,25,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,182014,87,44863.35063,279373,106.300178,1.79,1.78
2007,26,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,184613,88,51733.44213,412122,112.8234192,1.73,1.79
2008,27,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,179938,88,57644.47997,423059,41.00440939,1.7,1.76
2009,28,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,206622,88,52514.02712,497471,64.41769025,1.74,1.81
2010,29,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,234408,88,50950.03434,514689,78.09289202,1.73,1.82
2011,30,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,222465,89,54159.34661,595658,65.77212042,1.79,1.82
2012,31,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,244147,89,50073.00566,647365,77.57252061,1.81,1.86
2013,32,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,237734,89,52184.06185,740740,93.26244107,1.78,1.84
2014,33,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,258177,90,52830.17423,753546,88.28170807,1.82,1.98
2015,34,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,298782,91,45175.23189,829693,95.19390379,1.83,1.94
2016,35,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,313649,90,46007.85292,816667,102.8328602,1.83,1.89
2017,36,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,348836,91,48675.22234,929746,131.9277481,1.85,1.83
2018,37,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,462303,91,53044.53244,810238,131.9277481,1.85,1.82
2019,38,Netherlands,11,Europe,1,Amsterdam,52.374,4.8897,487079,91,52331.31673,860528,131.9277481,1.8,1.81
