year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,15,59,3079.949566,277,0.302347816,1.27,1.29
1983,2,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,14,60,2735.491066,222,0.338917708,1.27,1.29
1984,3,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-4,61,2522.747476,210,0.310889429,1.27,1.29
1985,4,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,0,61,2705.193002,243,0.786699781,1.27,1.29
1986,5,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,18,60,3861.948433,302,4.725067519,1.27,1.29
1987,6,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,16,59,4803.866095,528,29.2782137,1.27,1.29
1988,7,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,18,59,5623.697,583,12.75858167,1.27,1.29
1989,8,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,7,59,6056.381028,740,17.49418073,1.27,1.29
1990,9,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-19,60,7884.617988,897,11.9553786,1.27,1.29
1991,10,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-15,63,8958.985333,1034,10.42573658,1.27,1.29
1992,11,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,4,67,10810.56651,1290,9.058564851,1.27,1.29
1993,12,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-2,70,9534.656364,1264,13.05459677,1.27,1.29
1994,13,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,20,71,9977.319909,1181,16.31041389,1.27,1.29
1995,14,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,23,72,11781.36185,1413,15.5423874,1.27,1.29
1996,15,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-20,73,12185.0914,1423,19.96300424,1.27,1.29
1997,16,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-32,74,11575.50711,1399,33.28886806,1.22,1.28
1998,17,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-38,76,12199.20639,1360,50.79133933,1.16,1.28
1999,18,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-48,76,12471.07936,2188,53.47968333,1.09,1.25
2000,19,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-68,78,11497.75346,2664,51.28926183,1.02,1.23
2001,20,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-99,79,11724.6115,2746,38.13846381,1.11,1.28
2002,21,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-113,77,12875.32079,3093,31.93693963,1.21,1.34
2003,22,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-139,78,15762.97579,2402,35.35362286,1.17,1.31
2004,23,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-161,79,18031.00042,1915,37.1574391,1.06,1.25
2005,24,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-158,79,18773.12536,2138,33.96555819,1.06,1.23
2006,25,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,-19.5,80,19822.84603,2832,49.950366,0.87,0.99
2007,26,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,119,82,22782.09462,2991,55.05562166,0.9,1.02
2008,27,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,53,81,24847.54514,3006,26.25400822,1.09,1.02
2009,28,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,129,81,23059.79745,2803,40.31454279,1.16,1.06
2010,29,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,204,82,22498.69086,2612,34.46964306,1.01,1.06
2011,30,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,391,82,23186.91313,2421,25.20040397,0.95,1.02
2012,31,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,407,82,20564.88986,2061,30.29969827,1.04,1.07
2013,32,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,761,81,21647.04181,1978,34.97728239,1.23,1.06
2014,33,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,805,83,22074.30076,2067,25.1633944,0.99,1.14
2015,34,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,942,83,19242.36647,1971,30.0215849,1.22,1.15
2016,35,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,931,83,19978.40121,2288,27.75526094,1.21,1.1
2017,36,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,1101,85,21490.42986,2372,34.14815439,1.33,1.13
2018,37,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,1056,85,23562.55452,2513,25.55932825,1.21,1.14
2019,38,Portugal,13,Europe,1,Lisboa (Lisbon),38.7169,-9.1399,1100,85,23252.05852,2425,25.55932825,1.15,1.14
