year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,50,57,5579.234615,412,13.7937,0.84,1.05
1983,2,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,57,58,5019.878771,315,13.7937,0.84,1.05
1984,3,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,90,58,4852.565667,239,13.7937,0.84,1.05
1985,4,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,173,59,4813.711205,179,13.7937,0.84,1.05
1986,5,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,256,59,5656.505332,129,13.7937,0.84,1.05
1987,6,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,91,58,6564.884427,164,13.7937,0.84,1.05
1988,7,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,99,56,7598.028005,216,13.7937,0.84,1.05
1989,8,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,96,56,7846.678122,210,13.7937,0.84,1.05
1990,9,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,94,56,9600.185235,282,13.7937,0.84,1.05
1991,10,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,52,63,10188.36978,306,13.7937,0.84,1.05
1992,11,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,76,65,11176.45842,372,13.7937,0.84,1.05
1993,12,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,73,67,10401.98301,410,13.7937,0.84,1.05
1994,13,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,78,68,11091.28385,482,13.7937,0.84,1.05
1995,14,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,106,68,12959.32429,533,13.7937,0.84,1.05
1996,15,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,115,69,13749.11511,566,13.7937,0.84,1.05
1997,16,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,154,70,13427.83251,634,19.21,0.81,0.93
1998,17,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,165,71,13472.13761,648,38.2546,0.78,0.81
1999,18,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,171,73,13245.18944,760,38.2546,0.7,0.85
2000,19,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,659,75,12042.95371,795,50.24235524,0.63,0.88
2001,20,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,462,76,12538.17887,835,62.23011048,0.73,0.82
2002,21,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,526,75,14110.31337,981,43.59425813,0.82,0.75
2003,22,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,962,77,18477.57836,1431,52.81369601,0.76,0.82
2004,23,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,1120,77,21955.10414,1899,52.07091848,0.81,0.91
2005,24,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,1302,77,22551.73577,1884,58.56767363,0.72,0.79
2006,25,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,873.5,78,24801.15778,1804,73.42957042,0.64,0.87
2007,26,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,445,80,28827.32639,2179,83.19074913,0.56,0.87
2008,27,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,285.5,80,31997.28202,2092,25.44710143,0.59,0.86
2009,28,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,126,79,29710.97023,1919,34.1310043,0.62,0.65
2010,29,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,-41,79,26917.75895,1775,22.57685199,0.56,0.63
2011,30,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,-197,80,25916.29349,1440,11.73702073,0.51,0.57
2012,31,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,-376,80,22242.68195,1065,18.26695494,0.32,0.43
2013,32,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,612,81,21874.81947,-584,34.43406467,0.46,0.47
2014,33,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,605,82,21760.97975,-54,23.26893981,0.4,0.36
2015,34,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,638,81,18167.77373,1007,21.40459342,0.26,0.27
2016,35,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,744,81,18116.45965,1017,19.03625846,0.23,0.11
2017,36,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,850,82,18930.21863,1198,24.85655069,0.31,0.08
2018,37,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,639,83,20324.30499,1399,17.59014267,0.34,0.15
2019,38,Greece,18,Europe,1,Athínai (Athens),37.9534,23.749,639,83,19582.53598,938,25.56744058,0.41,0.2
