year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1,Turkey,20,Europe,1,Ankara,39.9199,32.8543,0,43,1402.406435,146,20.32122083,-0.08,-0.14
1983,2,Turkey,20,Europe,1,Ankara,39.9199,32.8543,0,44,1310.255596,131,20.32122083,-0.08,-0.14
1984,3,Turkey,20,Europe,1,Ankara,39.9199,32.8543,1,45,1246.824546,248,20.32122083,-0.08,-0.14
1985,4,Turkey,20,Europe,1,Ankara,39.9199,32.8543,1,46,1368.401402,259,20.32122083,-0.08,-0.14
1986,5,Turkey,20,Europe,1,Ankara,39.9199,32.8543,1,48,1510.676522,246,20.32122083,-0.08,-0.14
1987,6,Turkey,20,Europe,1,Ankara,39.9199,32.8543,15,48,1705.894585,238,20.32122083,-0.08,-0.14
1988,7,Turkey,20,Europe,1,Ankara,39.9199,32.8543,41,51,1745.364893,287,20.32122083,-0.08,-0.14
1989,8,Turkey,20,Europe,1,Ankara,39.9199,32.8543,17,52,2021.859224,343,20.32122083,-0.08,-0.14
1990,9,Turkey,20,Europe,1,Ankara,39.9199,32.8543,20,52,2794.35039,522,20.32122083,-0.08,-0.14
1991,10,Turkey,20,Europe,1,Ankara,39.9199,32.8543,34,53,2735.707864,545,20.32122083,-0.08,-0.14
1992,11,Turkey,20,Europe,1,Ankara,39.9199,32.8543,44,55,2842.369876,732,20.32122083,-0.08,-0.14
1993,12,Turkey,20,Europe,1,Ankara,39.9199,32.8543,48,57,3180.187801,995,20.32122083,-0.08,-0.14
1994,13,Turkey,20,Europe,1,Ankara,39.9199,32.8543,45,60,2270.337523,874,16.53151084,-0.08,-0.14
1995,14,Turkey,20,Europe,1,Ankara,39.9199,32.8543,31,61,2897.866491,973,12.2557186,-0.08,-0.14
1996,15,Turkey,20,Europe,1,Ankara,39.9199,32.8543,55,59,3053.947025,1059,16.70296584,-0.08,-0.14
1997,16,Turkey,20,Europe,1,Ankara,39.9199,32.8543,59,61,3144.385859,1033,32.18328703,-0.17,-0.1
1998,17,Turkey,20,Europe,1,Ankara,39.9199,32.8543,68,60,4499.736701,1014,12.19187148,-0.26,-0.06
1999,18,Turkey,20,Europe,1,Ankara,39.9199,32.8543,117,62,4116.170165,1792,43.96341795,-0.13,-0.04
2000,19,Turkey,20,Europe,1,Ankara,39.9199,32.8543,188,63,4337.478141,1826,25.41384177,0.01,-0.01
2001,20,Turkey,20,Europe,1,Ankara,39.9199,32.8543,195,65,3142.95519,1641,23.98373639,0.05,-0.02
2002,21,Turkey,20,Europe,1,Ankara,39.9199,32.8543,228,62,3687.890278,1869,15.00275762,0.08,-0.03
2003,22,Turkey,20,Europe,1,Ankara,39.9199,32.8543,161,62,4760.148949,2213,21.73553731,0.05,0.15
2004,23,Turkey,20,Europe,1,Ankara,39.9199,32.8543,162,63,6101.471608,2682,24.04165948,0.01,0.13
2005,24,Turkey,20,Europe,1,Ankara,39.9199,32.8543,162,65,7456.387715,2563,31.60035332,0.15,0.16
2006,25,Turkey,20,Europe,1,Ankara,39.9199,32.8543,205,66,8102.121489,3141,28.87848372,0.12,0.05
2007,26,Turkey,20,Europe,1,Ankara,39.9199,32.8543,165,67,9791.651574,5584,41.7616295,0.31,0.02
2008,27,Turkey,20,Europe,1,Ankara,39.9199,32.8543,475.5,70,10940.99125,4542,15.26178885,0.27,0.08
2009,28,Turkey,20,Europe,1,Ankara,39.9199,32.8543,786,70,9103.709879,3675,35.68154307,0.28,0.1
2010,29,Turkey,20,Europe,1,Ankara,39.9199,32.8543,749,70,10742.43007,4155,38.92609367,0.29,0.11
2011,30,Turkey,20,Europe,1,Ankara,39.9199,32.8543,476,71,11420.77326,4027,23.49520961,0.35,0.07
2012,31,Turkey,20,Europe,1,Ankara,39.9199,32.8543,562.5,71,11795.31671,4945,35.79528636,0.41,0.04
2013,32,Turkey,20,Europe,1,Ankara,39.9199,32.8543,649,71,12614.48026,3845,20.43700652,0.38,0.07
2014,33,Turkey,20,Europe,1,Ankara,39.9199,32.8543,624,72,12157.33796,3718,23.40552878,0.37,0.01
2015,34,Turkey,20,Europe,1,Ankara,39.9199,32.8543,1389,72,11006.24974,3798,21.85106654,0.22,-0.11
2016,35,Turkey,20,Europe,1,Ankara,39.9199,32.8543,1663,71,10895.31869,3726,19.75028983,0.05,-0.21
2017,36,Turkey,20,Europe,1,Ankara,39.9199,32.8543,1919,71,10591.47437,4074,26.48601125,0.08,-0.25
2018,37,Turkey,20,Europe,1,Ankara,39.9199,32.8543,2175,71,9455.593654,3903,19.17613548,0.01,-0.32
2019,38,Turkey,20,Europe,1,Ankara,39.9199,32.8543,2340,71,9126.561346,3333,24.29207587,0.05,-0.28
