year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,245,73,9410.347257,562,2.1181,1.73,1.81
1983,2,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,245,73,9537.40742,548,2.1189,1.73,1.81
1984,3,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,245,74,8991.06504,534,2.1853,1.73,1.81
1985,4,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,245,76,9172.09676,509,6.6318,1.73,1.81
1986,5,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,245,76,13083.07266,736,6.7212,1.73,1.81
1987,6,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,245,75,16392.76952,711,6.3935,1.73,1.81
1988,7,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,392,75,17578.61894,697,7.5224,1.73,1.81
1989,8,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,386,75,17468.94614,962,18.228,1.73,1.81
1990,9,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,625,75,21680.98962,1113,15.8111,1.73,1.81
1991,10,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,573,79,22410.91177,1268,13.9429,1.73,1.81
1992,11,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,583,79,24880.16412,1371,10.124,1.73,1.81
1993,12,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,638,80,24081.52779,1312,13.782,1.73,1.81
1994,13,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,769,80,25646.70066,2197,14.1596,1.73,1.81
1995,14,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,1553,81,30325.84958,2829,12.7023,1.73,1.81
1996,15,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,1784,83,29809.07677,2854,13.4518,1.73,1.81
1997,16,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,2363,84,26705.4786,2646,17.3034,1.8,1.83
1998,17,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,2618,84,27361.87511,3856,1.1913,1.87,1.85
1999,18,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,3216,85,27174.29716,3848,15.2049,1.9,1.84
2000,19,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,3007,86,24564.45829,2872,15.211,1.93,1.84
2001,20,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,2743,87,24537.51426,3964,12.7722,1.94,1.87
2002,21,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,3596,86,26401.74546,4011,15.7365,1.94,1.89
2003,22,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,3606,86,32222.89724,6366,21.5985,2,1.89
2004,23,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,3572,87,36821.52147,9264,29.1708,1.87,1.84
2005,24,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,2425,87,38403.13388,11236,39.9562,1.68,1.86
2006,25,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,2305,87,40635.28182,14897,57.3724,1.83,1.91
2007,26,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,4410,88,46855.77175,14646,60.8319,1.87,1.96
2008,27,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,4251,88,51708.76575,13546,17.7294,1.78,1.92
2009,28,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,4622,88,47963.1794,10954,28.5067,1.67,1.78
2010,29,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,4532,88,46858.04327,11485,32.1598,1.84,1.8
2011,30,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,4861,88,51374.95841,12556,19.7786,1.62,1.8
2012,31,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,5286,88,48567.69529,14327,25.8989,1.58,1.86
2013,32,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,5976,88,50716.70871,15630,27.3611,1.59,1.85
2014,33,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,6962,89,51717.49594,10171,21.8985,1.57,1.95
2015,34,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,7159,88,44178.04738,6508,25.1637,1.48,1.86
2016,35,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,10655,88,45276.83144,7566,30.583,1.51,1.81
2017,36,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,13160,89,47426.51196,7987,36.1055,1.46,1.81
2018,37,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,12392,89,51478.28526,6740,25.6654,1.45,1.87
2019,38,Austria,2,Europe,1,Wien (Vienna),48.2064,16.3707,13964,89,50137.66278,7643,29.9046,1.49,1.88
