year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1,Finland,5,Europe,1,Helsinki,60.1692,24.9402,295,70,10938.12206,178,5.2264,1.72,1.91
1983,2,Finland,5,Europe,1,Helsinki,60.1692,24.9402,295,70,10497.48,199,8.1096,1.72,1.91
1984,3,Finland,5,Europe,1,Helsinki,60.1692,24.9402,295,72,10833.86629,193,9.2939,1.72,1.91
1985,4,Finland,5,Europe,1,Helsinki,60.1692,24.9402,295,73,11398.10595,268,10.4783,1.72,1.91
1986,5,Finland,5,Europe,1,Helsinki,60.1692,24.9402,295,72,14951.04679,306,15.9006,1.72,1.91
1987,6,Finland,5,Europe,1,Helsinki,60.1692,24.9402,295,73,18571.05993,404,21.819,1.72,1.91
1988,7,Finland,5,Europe,1,Helsinki,60.1692,24.9402,452,72,22047.79332,426,28.0116,1.72,1.91
1989,8,Finland,5,Europe,1,Helsinki,60.1692,24.9402,1297,70,23973.23948,485,25.8708,1.72,1.91
1990,9,Finland,5,Europe,1,Helsinki,60.1692,24.9402,1504,71,28364.64508,544,16.0645,1.72,1.91
1991,10,Finland,5,Europe,1,Helsinki,60.1692,24.9402,1416,74,25484.73929,386,11.1129,1.72,1.91
1992,11,Finland,5,Europe,1,Helsinki,60.1692,24.9402,1767,75,22319.05946,343,10.6225,1.72,1.91
1993,12,Finland,5,Europe,1,Helsinki,60.1692,24.9402,1617,77,17608.81239,414,26.3687,1.72,1.91
1994,13,Finland,5,Europe,1,Helsinki,60.1692,24.9402,2016,78,20301.33309,761,37.0092,1.72,1.91
1995,14,Finland,5,Europe,1,Helsinki,60.1692,24.9402,2710,79,26271.59981,965,32.8919,1.72,1.91
1996,15,Finland,5,Europe,1,Helsinki,60.1692,24.9402,2950,80,25783.45049,1070,46.4366,1.72,1.91
1997,16,Finland,5,Europe,1,Helsinki,60.1692,24.9402,3892,81,24691.87281,1311,58.1538,1.87,1.95
1998,17,Finland,5,Europe,1,Helsinki,60.1692,24.9402,3949,82,26009.26949,1628,115.5133,2.02,2
1999,18,Finland,5,Europe,1,Helsinki,60.1692,24.9402,4816,82,26177.34798,1379,258.392,2.07,1.99
2000,19,Finland,5,Europe,1,Helsinki,60.1692,24.9402,8875,84,24285.46682,1342,233.587,2.12,1.98
2001,20,Finland,5,Europe,1,Helsinki,60.1692,24.9402,7620,85,24946.18919,1686,147.1599,2.14,1.96
2002,21,Finland,5,Europe,1,Helsinki,60.1692,24.9402,6133,84,26869.6749,1722,99.3516,2.16,1.94
2003,22,Finland,5,Europe,1,Helsinki,60.1692,24.9402,5300,84,32855.13263,1677,99.4266,2.26,2
2004,23,Finland,5,Europe,1,Helsinki,60.1692,24.9402,5639,85,37702.84538,2208,93.2266,2.17,1.96
2005,24,Finland,5,Europe,1,Helsinki,60.1692,24.9402,5938,84,39040.28888,1950,96.4367,2.13,1.96
2006,25,Finland,5,Europe,1,Helsinki,60.1692,24.9402,7129,85,41188.0937,2107,110.265,2.17,1.97
2007,26,Finland,5,Europe,1,Helsinki,60.1692,24.9402,5308,87,48414.84509,2202,129.265,1.97,1.91
2008,27,Finland,5,Europe,1,Helsinki,60.1692,24.9402,7613,87,53554.03892,2012,98.8876,2.05,1.92
2009,28,Finland,5,Europe,1,Helsinki,60.1692,24.9402,5415,86,47293.99283,1659,47.1516,2.23,1.97
2010,29,Finland,5,Europe,1,Helsinki,60.1692,24.9402,4943,86,46459.97325,1597,41.2719,2.23,1.97
2011,30,Finland,5,Europe,1,Helsinki,60.1692,24.9402,5213,86,51081.99767,2123,49.012,2.24,1.95
2012,31,Finland,5,Europe,1,Helsinki,60.1692,24.9402,6087,87,47710.79022,2007,57.2164,2.22,1.95
2013,32,Finland,5,Europe,1,Helsinki,60.1692,24.9402,6852,86,49878.04324,1919,57.2164,2.17,1.94
2014,33,Finland,5,Europe,1,Helsinki,60.1692,24.9402,4284,87,50260.29986,2765,57.2164,2,2.1
2015,34,Finland,5,Europe,1,Helsinki,60.1692,24.9402,6471,87,42784.69836,1258,57.2164,1.81,2.06
2016,35,Finland,5,Europe,1,Helsinki,60.1692,24.9402,6118,87,43784.28396,2538,57.2164,1.83,2.02
2017,36,Finland,5,Europe,1,Helsinki,60.1692,24.9402,6928,88,46336.66325,2513,57.2164,1.94,2.03
2018,37,Finland,5,Europe,1,Helsinki,60.1692,24.9402,14464,88,50030.87731,3268,57.2164,1.98,2.05
2019,38,Finland,5,Europe,1,Helsinki,60.1692,24.9402,14826,88,48782.78848,3745,57.2164,1.93,2.02
