year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,1120,65,7556.523437,4316,18.3684,0.84,1.06
1983,2,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,1238,65,7832.575387,4535,18.3684,0.84,1.06
1984,3,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,1438,66,7739.715284,4745,18.3684,0.84,1.06
1985,4,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,1237,67,7990.686566,6137,18.3684,0.84,1.06
1986,5,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,1323,66,11315.01518,7745,18.3684,0.84,1.06
1987,6,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,1310,66,14234.72864,9726,18.3684,0.84,1.06
1988,7,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,752,65,15744.66126,10046,18.3684,0.84,1.06
1989,8,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,1436,67,16386.66221,11221,18.3684,0.84,1.06
1990,9,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,1524,68,20825.78422,14063,18.3684,0.84,1.06
1991,10,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,3227,69,21956.52977,15085,18.3684,0.84,1.06
1992,11,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,1821,70,23243.47453,13015,18.3684,0.84,1.06
1993,12,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,2299,72,18738.7639,12748,18.3684,0.84,1.06
1994,13,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,2904,72,19337.6309,14808,18.3684,0.84,1.06
1995,14,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,3062,72,20664.55227,17096,18.3684,0.84,1.06
1996,15,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,3158,73,23081.60468,16193,18.3684,0.84,1.06
1997,16,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,2872,75,21829.34582,15547,23.3272,0.86,0.94
1998,17,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,3910,76,22318.1373,15548,35.8628,0.87,0.83
1999,18,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,4444,77,21997.62432,17889,58.16505836,0.82,0.85
2000,19,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,6576,79,20087.59199,23484,67.17462059,0.77,0.86
2001,20,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,6826,80,20483.21599,22883,45.19807166,0.78,0.81
2002,21,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,6830,78,22270.14412,23771,37.5439363,0.8,0.76
2003,22,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,6944,78,27465.6753,23092,39.05874288,0.8,0.72
2004,23,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,6889,78,31259.7165,25184,43.78609205,0.65,0.6
2005,24,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,7725,79,32043.14037,24528,42.9643297,0.56,0.52
2006,25,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,9299,79,33501.65817,25435,52.69746003,0.36,0.39
2007,26,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,13762,81,37822.66524,28216,48.52455564,0.2,0.48
2008,27,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,19466,81,40778.34274,27663,21.76402667,0.28,0.46
2009,28,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,18567,80,37079.75867,29944,26.3305,0.42,0.4
2010,29,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,20142,81,36000.52012,27137,27.3534,0.44,0.43
2011,30,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,21133,81,38599.06221,26896,21.9312,0.38,0.47
2012,31,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,22151,81,35053.52624,27317,21.3383,0.42,0.4
2013,32,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,24899,81,35549.9747,25829,26.1981,0.46,0.4
2014,33,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,23508,82,35518.41529,30154,27.9968,0.37,0.38
2015,34,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,27709,82,30230.2263,30869,27.9968,0.45,0.28
2016,35,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,30072,83,30939.71425,30573,27.9968,0.53,0.33
2017,36,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,29450,83,32406.72032,27617,27.9968,0.5,0.32
2018,37,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,30749,83,34615.75689,33080,27.9968,0.41,0.25
2019,38,Italy,9,Europe,1,Roma (Rome),41.8947,12.4811,32811,83,33228.23668,34900,27.9968,0.46,0.28
