year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,336,75,13034.81214,1098,33.62521325,,
1983,2, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,297,76,12810.21883,1240,32.27727438,,
1984,3, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,753,76,12554.41776,493,35.22759782,,
1985,4, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,345,77,12921.95842,795,59.0922176,,
1986,5, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,263,77,18789.65732,957,65.97291843,,
1987,6, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,590,76,23234.56512,874,82.9375629,,
1988,7, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,-131,75,26108.34455,1122,86.84697374,,
1989,8, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,407,74,27556.36413,1560,99.58201517,,
1990,9, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,2195,74,34645.14324,1697,79.03344197,,
1991,10, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,734,76,37007.43753,1734,78.7312931,,
1992,11, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,677,82,40965.74304,2031,73.65549173,,
1993,12, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,1183,82,41479.08838,5611,117.1590125,,
1994,13, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,2301,78,45481.89101,6310,155.6189859,,
1995,14, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,5756,78,52831.25237,5929,140.9403358,,
1996,15, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,3643,78,52571.93499,7753,148.8370795,1.96,1.71
1997,16, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,11687,79,47042.34711,10258,171.7185296,2,1.76
1998,17, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,26804,79,47584.46439,14571,188.9344819,2.04,1.81
1999,18, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,35644,80,51654.4028,22148,161.624279,2.01,1.83
2000,19, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,58930,81,48735.99549,27849,159.9759977,1.97,1.85
2001,20, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,95299,81,48179.42085,50771,106.7596507,2.01,1.87
2002,21, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,97416,81,52930.64115,62181,103.9579021,2.04,1.9
2003,22, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,109212,81,65445.88503,68298,126.3078101,1.92,1.87
2004,23, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,116479,82,75716.35108,83634,144.5672266,1.9,1.87
2005,24, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,79680,82,80289.69641,79937,137.2208438,1.78,1.83
2006,25, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,89157,86,89739.7117,125146,187.4687659,1.57,1.7
2007,26, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,123389,87,106018.4928,144180,326.3589871,1.59,1.77
2008,27, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,130020,87,114293.8433,172251,119.2750293,1.63,1.8
2009,28, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,138667,87,103198.6693,219082,204.4911022,1.75,1.83
2010,29, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,170309,87,104965.3061,272206,190.046632,1.72,1.85
2011,30, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,172195,87,115761.5077,357898,112.7036693,1.75,1.83
2012,31, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,202339,87,106749.0136,408205,124.1018163,1.67,1.8
2013,32, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,223339,87,113625.1329,460029,127.3755509,1.63,1.82
2014,33, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,232288,87,118823.6484,596105,95.55798476,1.65,1.91
2015,34, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,350772,83,101376.4966,599001,81.62061204,1.72,1.87
2016,35, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,371121,83,104278.391,646508,100.360319,1.69,1.76
2017,36, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,382605,83,107627.151,703066,106.9445314,1.68,1.74
2018,37, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,312976,83,116654.2611,726121,69.77251733,1.78,1.81
2019,38, Luxembourg,10,Europe,1,Luxembourg,49.6117,6.13,297052,,114704.5942,766099,62.20893091,1.73,1.79
