Year,Year-ID,Countries,Country-ID,Regions,Region-ID,Capital,Latitude,Longitude,FDI in USA ($million),Globalization Index (0-100),GDP per Capita ($),FDI by USA ($million),Stock Market Capitalization (GDP%),Government Effectiveness ,Rule of Law
1990,9,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,,47,3492.710314,,,,
1991,10,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,,50,3490.452505,,,,
1992,11,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,125,50,3098.802639,94,,,
1993,12,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,98,55,2930.670201,280,,,
1994,13,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,97,56,2662.104034,562,,,
1995,14,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,118,58,2665.779867,1115,,,
1996,15,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,242,60,2643.929196,1334,6.09182,-0.45,-0.79
1997,16,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,215,61,2737.572024,1371,19.7439,-0.59,-0.84
1998,17,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,156,63,1834.861843,623,20.0185,-0.73,-0.88
1999,18,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,97,63,1330.757236,1678,19.4227,-0.72,-0.99
2000,19,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,118,65,1771.594059,1147,20.3061,-0.72,-1.1
2001,20,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,52,64,2100.352512,883,18.5096,-0.52,-0.97
2002,21,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,122,65,2377.529577,1135,28.2152,-0.31,-0.84
2003,22,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,270.5,67,2975.125353,2511,41.6179,-0.4,-0.91
2004,23,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,419,66,4102.364833,6088,43.7746,-0.44,-0.89
2005,24,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,511,66,5323.463083,9363,53.9714,-0.5,-0.93
2006,25,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,756,67,6920.189125,11371,100.831,-0.44,-0.95
2007,26,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,5003,69,9101.255049,15029,61.9012,-0.39,-0.97
2008,27,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,7917,69,11635.27293,19777,61.1551,-0.36,-0.96
2009,28,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,8416,70,8562.813277,20763,62.30233446,-0.41,-0.78
2010,29,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,5689,70,10674.99578,10040,62.38341351,-0.47,-0.76
2011,30,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,6025,70,14311.08432,11285,38.29830209,-0.47,-0.73
2012,31,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,6077,71,15420.87454,13389,37.37454375,-0.42,-0.82
2013,32,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,6354,71,15974.64463,13280,33.61682066,-0.35,-0.78
2014,33,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,4729,71,14095.64874,9764,18.7412012,-0.11,-0.74
2015,34,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,4360,72,9313.013625,10259,28.84072031,-0.2,-0.76
2016,35,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,4472,72,8704.898413,14357,48.72007177,-0.2,-0.79
2017,36,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,4355,72,10720.33259,13786,39.60266438,-0.08,-0.79
2018,37,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,4455,72,11370.81346,14071,34.5065989,-0.06,-0.82
2019,38,Russia,14,Europe,1,Moskva (Moscow),55.755,37.6218,4371,,11584.99538,14439,,0.15,-0.72
