Year,Year-ID,Countries,Country-ID,Regions,Region-ID,Capital,Latitude,Longitude,FDI in USA ($million),Globalization Index (0-100),GDP per Capita ($),FDI by USA ($million),Stock Market Capitalization (GDP%),Government Effectiveness ,Rule of Law
1982,1,Spain,15,Europe,1,Madrid,40.4165,-3.7026,,60,5159.708645,2350,5.698124965,,
1983,2,Spain,15,Europe,1,Madrid,40.4165,-3.7026,,61,4478.500286,2331,6.352965591,,
1984,3,Spain,15,Europe,1,Madrid,40.4165,-3.7026,,61,4489.988939,2224,7.688580031,,
1985,4,Spain,15,Europe,1,Madrid,40.4165,-3.7026,,62,4699.655764,2407,10.79086024,,
1986,5,Spain,15,Europe,1,Madrid,40.4165,-3.7026,,61,6513.503286,2882,19.4675516,,
1987,6,Spain,15,Europe,1,Madrid,40.4165,-3.7026,442,61,8239.613802,4334,22.30297111,,
1988,7,Spain,15,Europe,1,Madrid,40.4165,-3.7026,511,60,9703.123838,5220,24.16628055,,
1989,8,Spain,15,Europe,1,Madrid,40.4165,-3.7026,601,65,10681.9712,6500,29.57202245,,
1990,9,Spain,15,Europe,1,Madrid,40.4165,-3.7026,792,66,13804.87679,7868,20.77107362,,
1991,10,Spain,15,Europe,1,Madrid,40.4165,-3.7026,1811,69,14811.90282,8088,25.61115092,,
1992,11,Spain,15,Europe,1,Madrid,40.4165,-3.7026,1145,70,16112.18892,8757,18.42148505,,
1993,12,Spain,15,Europe,1,Madrid,40.4165,-3.7026,1245,72,13339.90856,6689,22.60013641,,
1994,13,Spain,15,Europe,1,Madrid,40.4165,-3.7026,2430,73,13415.287,9572,29.21128062,,
1995,14,Spain,15,Europe,1,Madrid,40.4165,-3.7026,3237,74,15471.96272,10856,31.00679027,,
1996,15,Spain,15,Europe,1,Madrid,40.4165,-3.7026,2007,74,16109.0844,12252,37.5089136,1.62,1.44
1997,16,Spain,15,Europe,1,Madrid,40.4165,-3.7026,2304,75,14730.79718,11541,49.21100056,1.64,1.39
1998,17,Spain,15,Europe,1,Madrid,40.4165,-3.7026,2420,77,15394.35146,14221,64.94719078,1.66,1.34
1999,18,Spain,15,Europe,1,Madrid,40.4165,-3.7026,2749,77,15715.33227,19970,67.89108456,1.71,1.39
2000,19,Spain,15,Europe,1,Madrid,40.4165,-3.7026,5068,80,14713.06571,21236,84.4761604,1.76,1.43
2001,20,Spain,15,Europe,1,Madrid,40.4165,-3.7026,4659,80,15355.70317,28174,74.63941364,1.8,1.35
2002,21,Spain,15,Europe,1,Madrid,40.4165,-3.7026,4612,79,17025.53198,38001,65.43281816,1.85,1.26
2003,22,Spain,15,Europe,1,Madrid,40.4165,-3.7026,5670,80,21463.44266,41119,80.20427462,1.88,1.28
2004,23,Spain,15,Europe,1,Madrid,40.4165,-3.7026,5818,80,24861.2828,48409,88.15281836,1.35,1.14
2005,24,Spain,15,Europe,1,Madrid,40.4165,-3.7026,7472,81,26419.29686,50197,83.23266494,1.51,1.13
2006,25,Spain,15,Europe,1,Madrid,40.4165,-3.7026,13969,81,28365.31349,49356,105.0479801,0.84,1.13
2007,26,Spain,15,Europe,1,Madrid,40.4165,-3.7026,25908,83,32549.97098,61093,122.2604393,0.99,1.17
2008,27,Spain,15,Europe,1,Madrid,40.4165,-3.7026,30037,83,35366.2596,54194,58.35206706,0.92,1.19
2009,28,Spain,15,Europe,1,Madrid,40.4165,-3.7026,38984,82,32042.47408,58341,96.56410928,0.95,1.16
2010,29,Spain,15,Europe,1,Madrid,40.4165,-3.7026,43095,83,30502.71971,52390,82.46686909,0.99,1.19
2011,30,Spain,15,Europe,1,Madrid,40.4165,-3.7026,45740,84,31636.44631,45351,69.71913015,1.03,1.2
2012,31,Spain,15,Europe,1,Madrid,40.4165,-3.7026,48417,84,28324.42934,27978,75.11121371,1.12,1.06
2013,32,Spain,15,Europe,1,Madrid,40.4165,-3.7026,50722,84,29059.54795,33879,82.41778215,1.15,1.02
2014,33,Spain,15,Europe,1,Madrid,40.4165,-3.7026,63956,85,29461.55033,35253,72.50726214,1.16,0.95
2015,34,Spain,15,Europe,1,Madrid,40.4165,-3.7026,67349,85,25732.01836,36075,65.86725775,1.17,0.9
2016,35,Spain,15,Europe,1,Madrid,40.4165,-3.7026,71559,85,26505.34322,36651,57.18407929,1.12,0.98
2017,36,Spain,15,Europe,1,Madrid,40.4165,-3.7026,77816,86,28170.16786,35482,67.71893184,1.03,1.01
2018,37,Spain,15,Europe,1,Madrid,40.4165,-3.7026,83379,84,30389.36099,35425,50.88696804,1,0.97
2019,38,Spain,15,Europe,1,Madrid,40.4165,-3.7026,86796,,29600.37825,40793,57.21501696,1,0.98
