Year,Year-ID,Countries,Country-ID,Regions,Region-ID,Capital,Latitude,Longitude,FDI in USA ($million),Globalization Index (0-100),GDP per Capita ($),FDI by USA ($million),Stock Market Capitalization (GDP%),Government Effectiveness ,Rule of Law
1982,1,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,1739,77,13738.9723,1103,16.25866351,,
1983,2,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,2124,78,12608.22915,1064,28.8007954,,
1984,3,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,2258,78,13099.02083,997,23.51076891,,
1985,4,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,2357,78,13666.85775,1060,32.68012085,,
1986,5,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,3963,77,17981.01941,1030,42.0969486,,
1987,6,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,4910,78,21792.55891,1179,38.45547187,,
1988,7,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,4713,77,24534.69382,1131,48.15535601,,
1989,8,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,5435,76,25662.22059,1297,54.70966805,,
1990,9,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,5484,76,30593.67244,1787,35.14075894,,
1991,10,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,5404,78,31822.80385,2323,35.39205841,,
1992,11,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,7130,78,32800.98269,1881,27.46165013,,
1993,12,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,7881,80,24425.28493,2374,47.19818981,,
1994,13,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,8803,82,26083.61439,1905,52.07096137,,
1995,14,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,9584,83,30282.96392,6816,64.55163764,,
1996,15,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,8826,83,32998.96816,5248,82.39498852,1.92,1.8
1997,16,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,10796,84,30312.4876,3542,98.71860374,1.94,1.8
1998,17,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,17318,85,30596.5272,5237,102.9165025,1.96,1.79
1999,18,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,18954,86,30941.07936,10624,136.1968394,1.96,1.81
2000,19,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,21991,87,29624.91267,25959,124.9218987,1.96,1.83
2001,20,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,20804,87,27247.85773,26374,97.57361257,1.99,1.85
2002,21,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,20504,87,29899.19525,30114,67.12310276,2.03,1.88
2003,22,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,20156,87,37321.7979,27004,86.70202697,2.08,1.93
2004,23,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,22292,88,42821.67314,29730,91.1861,2.12,1.89
2005,24,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,22269,88,43437.06312,30153,99.4556,1.89,1.81
2006,25,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,20098,88,46593.60216,33857,116.833,1.8,1.86
2007,26,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,45811,89,53700.00534,36615,126.604,2.03,1.91
2008,27,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,32578,89,56152.55234,35876,86.654,1.96,1.93
2009,28,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,28941,89,46946.96027,36702,75.3328,2.05,1.97
2010,29,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,38780,89,52869.04429,23275,105.756,2,1.96
2011,30,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,41591,88,60755.75955,33422,99.2636,1.97,1.94
2012,31,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,39216,88,58037.82132,33635,92.8092,1.96,1.95
2013,32,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,40848,88,61126.9432,31675,,1.91,1.97
2014,33,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,40142,90,60020.36046,33516,,1.8,1.99
2015,34,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,44961,90,51545.48361,32593,,1.82,2.04
2016,35,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,48372,89,51965.15715,34722,,1.77,2.02
2017,36,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,51286,89,53791.50873,36896,,1.84,1.94
2018,37,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,49546,89,54589.06039,41024,,1.83,1.89
2019,38,Sweden,16,Europe,1,Stockholm,59.3326,18.0649,52683,,51615.02065,38787,,1.83,1.91
