Year,Year-ID,Countries,Country-ID,Regions,Region-ID,Capital,Latitude,Longitude,FDI in USA ($million),Globalization Index (0-100),GDP per Capita ($),FDI by USA ($million),Stock Market Capitalization (GDP%),Government Effectiveness ,Rule of Law
1982,1,Switzerland,17,Europe,1,Bern,46.9481,7.4474,6378,76,17478.65577,12863,34.68363015,,
1983,2,Switzerland,17,Europe,1,Bern,46.9481,7.4474,7464,76,17341.99488,14257,39.60062517,,
1984,3,Switzerland,17,Europe,1,Bern,46.9481,7.4474,8146,77,16499.14695,14877,37.707358,,
1985,4,Switzerland,17,Europe,1,Bern,46.9481,7.4474,10568,78,16655.33739,15888,78.04399581,,
1986,5,Switzerland,17,Europe,1,Bern,46.9481,7.4474,12058,77,23751.44956,16608,83.276925,,
1987,6,Switzerland,17,Europe,1,Bern,46.9481,7.4474,13772,77,29558.89553,19691,67.04328407,,
1988,7,Switzerland,17,Europe,1,Bern,46.9481,7.4474,14372,76,31743.65294,18709,67.05360051,,
1989,8,Switzerland,17,Europe,1,Bern,46.9481,7.4474,18746,79,30401.8925,21144,84.58875505,,
1990,9,Switzerland,17,Europe,1,Bern,46.9481,7.4474,17674,78,38428.38546,25099,61.0829177,,
1991,10,Switzerland,17,Europe,1,Bern,46.9481,7.4474,18482,80,38399.2106,25682,72.64170228,,
1992,11,Switzerland,17,Europe,1,Bern,46.9481,7.4474,19646,81,39534.54204,28698,71.42304584,,
1993,12,Switzerland,17,Europe,1,Bern,46.9481,7.4474,21681,82,38100.73675,33056,102.4687526,,
1994,13,Switzerland,17,Europe,1,Bern,46.9481,7.4474,24936,82,41843.75691,27908,97.37916778,,
1995,14,Switzerland,17,Europe,1,Bern,46.9481,7.4474,27458,82,48662.43979,31125,116.1944713,,
1996,15,Switzerland,17,Europe,1,Bern,46.9481,7.4474,30363,83,46676.85097,30744,121.2646952,1.76,1.93
1997,16,Switzerland,17,Europe,1,Bern,46.9481,7.4474,37962,85,40417.96227,30634,200.8031224,1.87,1.95
1998,17,Switzerland,17,Europe,1,Bern,46.9481,7.4474,48263,85,41497.20257,38225,233.591071,1.98,1.97
1999,18,Switzerland,17,Europe,1,Bern,46.9481,7.4474,52973,86,40581.30705,40532,233.943703,2.01,1.98
2000,19,Switzerland,17,Europe,1,Bern,46.9481,7.4474,64719,88,37868.32303,55377,291.2332045,2.04,1.98
2001,20,Switzerland,17,Europe,1,Bern,46.9481,7.4474,129478,88,38538.99009,63768,189.2665877,2.02,1.96
2002,21,Switzerland,17,Europe,1,Bern,46.9481,7.4474,118342,87,41376.39395,74229,203.2624325,2,1.95
2003,22,Switzerland,17,Europe,1,Bern,46.9481,7.4474,124247,87,48087.58313,92750,206.0278394,1.82,1.94
2004,23,Switzerland,17,Europe,1,Bern,46.9481,7.4474,122165,87,53340.14768,121790,210.3435942,2.18,1.91
2005,24,Switzerland,17,Europe,1,Bern,46.9481,7.4474,133387,88,54952.67376,100692,229.6848817,1.85,1.91
2006,25,Switzerland,17,Europe,1,Bern,46.9481,7.4474,134568,87,57579.50195,102022,281.3819142,2.08,1.82
2007,26,Switzerland,17,Europe,1,Bern,46.9481,7.4474,149732,88,63555.23746,94675,265.6016006,2.04,1.85
2008,27,Switzerland,17,Europe,1,Bern,46.9481,7.4474,157121,88,72487.84594,133222,158.8009402,2.04,1.82
2009,28,Switzerland,17,Europe,1,Bern,46.9481,7.4474,140819,88,69927.46876,131707,196.6156527,1.95,1.75
2010,29,Switzerland,17,Europe,1,Bern,46.9481,7.4474,180642,89,74605.72108,119891,210.5845127,1.88,1.76
2011,30,Switzerland,17,Europe,1,Bern,46.9481,7.4474,198050,88,88415.62803,107341,155.7391482,1.87,1.73
2012,31,Switzerland,17,Europe,1,Bern,46.9481,7.4474,199125,90,83538.23003,122417,184.6344931,1.89,1.82
2013,32,Switzerland,17,Europe,1,Bern,46.9481,7.4474,220349,90,85112.4644,128490,223.7749442,1.82,1.8
2014,33,Switzerland,17,Europe,1,Bern,46.9481,7.4474,245188,91,86605.56338,142886,210.8503909,2.11,1.99
2015,34,Switzerland,17,Europe,1,Bern,46.9481,7.4474,241008,91,82081.59716,171342,223.4850386,2,1.95
2016,35,Switzerland,17,Europe,1,Bern,46.9481,7.4474,267657,91,80172.23209,185329,209.047577,2.01,1.95
2017,36,Switzerland,17,Europe,1,Bern,46.9481,7.4474,274721,91,80449.99451,252231,248.032337,2.06,1.93
2018,37,Switzerland,17,Europe,1,Bern,46.9481,7.4474,295783,91,82818.10816,253253,204.3791591,2.04,1.93
2019,38,Switzerland,17,Europe,1,Bern,46.9481,7.4474,300393,,81993.72713,228968,260.9158142,1.95,1.91
