Year,Year-ID,Countries,Country-ID,Regions,Region-ID,Capital,Latitude,Longitude,FDI in USA ($million),Globalization Index (0-100),GDP per Capita ($),FDI by USA ($million),Stock Market Capitalization (GDP%),Government Effectiveness ,Rule of Law
1982,1,Hungary,19,Europe,1,Budapest,47.498,19.0399,8,53,,,,,
1983,2,Hungary,19,Europe,1,Budapest,47.498,19.0399,6,53,,,,,
1984,3,Hungary,19,Europe,1,Budapest,47.498,19.0399,9,53,,,,,
1985,4,Hungary,19,Europe,1,Budapest,47.498,19.0399,8,53,,,,,
1986,5,Hungary,19,Europe,1,Budapest,47.498,19.0399,9,54,,,,,
1987,6,Hungary,19,Europe,1,Budapest,47.498,19.0399,8,54,,,,,
1988,7,Hungary,19,Europe,1,Budapest,47.498,19.0399,7.5,56,,,,,
1989,8,Hungary,19,Europe,1,Budapest,47.498,19.0399,7,56,,,,,
1990,9,Hungary,19,Europe,1,Budapest,47.498,19.0399,3,58,,119,,,
1991,10,Hungary,19,Europe,1,Budapest,47.498,19.0399,-1,60,3350.258323,189,,,
1992,11,Hungary,19,Europe,1,Budapest,47.498,19.0399,15,62,3735.10582,254,,,
1993,12,Hungary,19,Europe,1,Budapest,47.498,19.0399,13,64,3873.987723,1053,,,
1994,13,Hungary,19,Europe,1,Budapest,47.498,19.0399,12,67,4173.373024,1066,,,
1995,14,Hungary,19,Europe,1,Budapest,47.498,19.0399,11,68,4494.707624,1487,,,
1996,15,Hungary,19,Europe,1,Budapest,47.498,19.0399,5,71,4525.039103,1843,7.76939,0.86,0.91
1997,16,Hungary,19,Europe,1,Budapest,47.498,19.0399,8,73,4596.182622,1168,20.1336,0.93,0.89
1998,17,Hungary,19,Europe,1,Budapest,47.498,19.0399,190,74,4744.212264,1485,28.6058,0.99,0.87
1999,18,Hungary,19,Europe,1,Budapest,47.498,19.0399,1000,75,4793.478522,2409,30.0419,0.98,0.89
2000,19,Hungary,19,Europe,1,Budapest,47.498,19.0399,5287,76,4624.281657,1920,27.7542,0.98,0.91
2001,20,Hungary,19,Europe,1,Budapest,47.498,19.0399,17805,78,5276.033189,2033,21.1832,1.02,0.94
2002,21,Hungary,19,Europe,1,Budapest,47.498,19.0399,18779,78,6655.333009,2503,19.21178472,1.05,0.98
2003,22,Hungary,19,Europe,1,Budapest,47.498,19.0399,16554,78,8421.103313,2856,19.53401941,0.96,0.93
2004,23,Hungary,19,Europe,1,Budapest,47.498,19.0399,17154,81,10285.79363,3024,27.50850815,0.86,0.91
2005,24,Hungary,19,Europe,1,Budapest,47.498,19.0399,19123,82,11200.57695,2795,28.83288789,0.77,0.86
2006,25,Hungary,19,Europe,1,Budapest,47.498,19.0399,24020,83,11475.82271,2602,36.28264873,0.87,1
2007,26,Hungary,19,Europe,1,Budapest,47.498,19.0399,47509,84,13918.96019,6457,33.00489369,0.71,0.96
2008,27,Hungary,19,Europe,1,Budapest,47.498,19.0399,66302,85,15753.47328,3737,11.67689323,0.71,0.93
2009,28,Hungary,19,Europe,1,Budapest,47.498,19.0399,70715,85,13046.48101,4090,22.97075415,0.67,0.8
2010,29,Hungary,19,Europe,1,Budapest,47.498,19.0399,39266,85,13191.62126,4237,21.00450408,0.67,0.78
2011,30,Hungary,19,Europe,1,Budapest,47.498,19.0399,18362,85,14216.16561,6305,13.2428095,0.67,0.76
2012,31,Hungary,19,Europe,1,Budapest,47.498,19.0399,11080,84,12950.68652,7500,16.15886318,0.63,0.62
2013,32,Hungary,19,Europe,1,Budapest,47.498,19.0399,11952,84,13687.51406,6317,14.62016218,0.65,0.58
2014,33,Hungary,19,Europe,1,Budapest,47.498,19.0399,20269,85,14267.01215,5582,10.31028882,0.53,0.5
2015,34,Hungary,19,Europe,1,Budapest,47.498,19.0399,12124,84,12706.89121,7625,14.14115608,0.5,0.4
2016,35,Hungary,19,Europe,1,Budapest,47.498,19.0399,19381,84,13090.50673,7392,17.5552758,0.46,0.42
2017,36,Hungary,19,Europe,1,Budapest,47.498,19.0399,21932,84,14605.85435,6672,22.07156239,0.52,0.53
2018,37,Hungary,19,Europe,1,Budapest,47.498,19.0399,31730,84,16410.18726,6597,18.03689065,0.49,0.55
2019,38,Hungary,19,Europe,1,Budapest,47.498,19.0399,52360,,16731.82151,6114,20.11789475,0.5,0.49
