year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1,United Kingdom,1,Europe,1,London,51.5085,-0.1257,28447,78,9146.077357,27537,38.1034,,
1983,2,United Kingdom,1,Europe,1,London,51.5085,-0.1257,32152,78,8691.518813,28086,46.1251,,
1984,3,United Kingdom,1,Europe,1,London,51.5085,-0.1257,38387,78,8179.194441,29265,51.2264,,
1985,4,United Kingdom,1,Europe,1,London,51.5085,-0.1257,43555,78,8652.216542,34066,72.2432,,
1986,5,United Kingdom,1,Europe,1,London,51.5085,-0.1257,55935,78,10611.11221,36974,78.6257,,
1987,6,United Kingdom,1,Europe,1,London,51.5085,-0.1257,75519,79,13118.58653,46489,91.2165,,
1988,7,United Kingdom,1,Europe,1,London,51.5085,-0.1257,95698,78,15987.16808,51734,78.1793,,
1989,8,United Kingdom,1,Europe,1,London,51.5085,-0.1257,103458,78,16239.2822,67722,87.8556,,
1990,9,United Kingdom,1,Europe,1,London,51.5085,-0.1257,98676,78,19095.467,72707,77.7416,,
1991,10,United Kingdom,1,Europe,1,London,51.5085,-0.1257,100085,79,19900.72665,79819,86.6224,,
1992,11,United Kingdom,1,Europe,1,London,51.5085,-0.1257,86587,80,20487.17079,85176,80.9456,,
1993,12,United Kingdom,1,Europe,1,London,51.5085,-0.1257,98739,81,18389.01957,109208,108.3753,,
1994,13,United Kingdom,1,Europe,1,London,51.5085,-0.1257,98732,82,19709.2381,100817,100.249,,
1995,14,United Kingdom,1,Europe,1,London,51.5085,-0.1257,116272,82,23123.17779,106332,99.1318,,
1996,15,United Kingdom,1,Europe,1,London,51.5085,-0.1257,121582,82,24332.69777,134559,120.9042,1.88,1.63
1997,16,United Kingdom,1,Europe,1,London,51.5085,-0.1257,129421,82,26734.56261,154462,132.6583,1.91,1.7
1998,17,United Kingdom,1,Europe,1,London,51.5085,-0.1257,137489,83,28214.27436,183035,139.237,1.93,1.78
1999,18,United Kingdom,1,Europe,1,London,51.5085,-0.1257,153797,84,28669.53969,216638,175.631,1.89,1.74
2000,19,United Kingdom,1,Europe,1,London,51.5085,-0.1257,277613,86,28149.87001,230762,155.4449,1.85,1.7
2001,20,United Kingdom,1,Europe,1,London,51.5085,-0.1257,197651,86,27744.50646,228230,131.0475,1.84,1.69
2002,21,United Kingdom,1,Europe,1,London,51.5085,-0.1257,211699,86,30056.58622,247952,104.0191,1.84,1.68
2003,22,United Kingdom,1,Europe,1,London,51.5085,-0.1257,217841,87,34419.14791,277246,118.1588,1.81,1.7
2004,23,United Kingdom,1,Europe,1,London,51.5085,-0.1257,267209,87,40290.31397,330416,116.5084,1.89,1.63
2005,24,United Kingdom,1,Europe,1,London,51.5085,-0.1257,371350,87,42030.28661,351513,120.4635,1.77,1.57
2006,25,United Kingdom,1,Europe,1,London,51.5085,-0.1257,414629,87,44599.69757,406358,139.3407,1.67,1.79
2007,26,United Kingdom,1,Europe,1,London,51.5085,-0.1257,405543,88,50566.8266,426357,124.0441,1.65,1.74
2008,27,United Kingdom,1,Europe,1,London,51.5085,-0.1257,447529,88,47286.99849,448412,63.9195,1.64,1.71
2009,28,United Kingdom,1,Europe,1,London,51.5085,-0.1257,414590,88,38713.13743,495382,94.0055,1.51,1.74
2010,29,United Kingdom,1,Europe,1,London,51.5085,-0.1257,400435,88,39435.8399,501247,121.787,1.57,1.76
2011,30,United Kingdom,1,Europe,1,London,51.5085,-0.1257,446077,89,42038.57225,485029,118.689,1.56,1.65
2012,31,United Kingdom,1,Europe,1,London,51.5085,-0.1257,485785,89,42462.77157,537041,112.111,1.55,1.72
2013,32,United Kingdom,1,Europe,1,London,51.5085,-0.1257,510795,89,43444.533,537714,,1.5,1.71
2014,33,United Kingdom,1,Europe,1,London,51.5085,-0.1257,479373,89,47425.60768,631666,,1.63,1.89
2015,34,United Kingdom,1,Europe,1,London,51.5085,-0.1257,522954,89,44974.83188,632327,,1.74,1.81
2016,35,United Kingdom,1,Europe,1,London,51.5085,-0.1257,505190,89,41064.13343,747425,,1.6,1.69
2017,36,United Kingdom,1,Europe,1,London,51.5085,-0.1257,487570,90,40361.41738,815059,,1.41,1.68
2018,37,United Kingdom,1,Europe,1,London,51.5085,-0.1257,496622,89,43043.22782,796564,,1.34,1.64
2019,38,United Kingdom,1,Europe,1,London,51.5085,-0.1257,505088,,42330.11754,851414,,1.44,1.6
