year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,3567,55,14312.37312,40,,,
1983,2,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,3606,56,13233.89841,47,,,
1984,3,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,4333,57,13132.76511,62,,,
1985,4,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,3968,57,12356.90714,62,,,
1986,5,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,3771,57,9771.098609,,,,
1987,6,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,3898,56,11535.21619,35,,,
1988,7,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,3954,55,10169.00586,-1,,,
1989,8,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,4280,55,11617.15642,,,,
1990,9,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,1805,55,8794.631229,,,,
1991,10,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,1663,57,5419.590831,,,,
1992,11,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,2768,59,,,,,
1993,12,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,2820,59,,,43.85655716,,
1994,13,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,2821,59,,168,40.06964797,,
1995,14,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,2525,59,16932.1483,71,47.69994188,,
1996,15,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,2640,59,19358.38244,28,60.11855853,0.12,0.60
1997,16,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,2964,60,17748.8598,-60,97.69645264,0.03,0.62
1998,17,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,,62,14166.1796,111,87.76131284,-0.06,0.64
1999,18,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,850,63,15435.17859,157,66.45803863,-0.07,0.60
2000,19,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,908,63,18440.37852,313,51.60019464,-0.08,0.57
2001,20,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,964,63,16587.17767,380,64.87567773,0.01,0.59
2002,21,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,,62,17846.32606,,82.49146556,0.11,0.61
2003,22,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,,62,22148.37815,,127.3099479,0.12,0.57
2004,23,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,,63,27011.72765,,122.6527177,0.10,0.52
2005,24,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,568,65,35591.00578,,128.3688347,0.17,0.54
2006,25,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,893,65,42781.3665,637,105.4301686,0.29,0.54
2007,26,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,855,66,45782.27656,,136.959,0.10,0.60
2008,27,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,371,67,55494.95099,1458,106.171,-0.01,0.59
2009,28,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,358,68,37561.67267,285,92.0923,0.20,0.59
2010,29,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,347,70,38577.49828,134,92.8083,0.17,0.59
2011,30,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,892,70,48631.6913,,72.9551,0.02,0.55
2012,31,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,742,70,51979.10517,262,56.7387,-0.07,0.37
2013,32,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,1011,70,49388.13741,303,,-0.07,0.37
2014,33,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,1072,70,44062.31704,434,,-0.15,0.02
2015,34,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,1113,71,29869.52939,342,,-0.03,0.00
2016,35,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,1112,71,27653.06677,345,,-0.16,0.03
2017,36,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,1123,71,29759.43649,407,,-0.18,0.10
2018,37,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,1276,72,33994.38192,499,,-0.09,0.21
2019,38,Kuwait,36,Asia,3,Al Kuwayt (Kuwait City),29.3697,47.9783,1256,72,32000.44847,398,,0.02,0.22
