Year,Year-ID,Countries,Country-ID,Regions,Region-ID,Capital,Latitude,Longitude,FDI in USA ($million),Globalization Index (0-100),GDP per Capita ($),FDI by USA ($million),Stock Market Capitalization (GDP%),Government Effectiveness ,Rule of Law
1982,1,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,1904,79,9343.8611,5549,9.3003,,
1983,2,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,2261,80,8846.234298,5087,12.3635,,
1984,3,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,2548,81,8457.268803,5202,14.8076,,
1985,4,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,2291,81,8750.818513,5619,24.1935,,
1986,5,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,2487,81,12170.0407,5568,31.1091,,
1987,6,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,3371,80,15135.85231,7719,27.8779,,
1988,7,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,3471,80,16391.09383,7830,36.2208,,
1989,8,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,3799,80,16525.06174,7710,45.5947,,
1990,9,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,3900,80,20600.37528,9464,31.8748,,
1991,10,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,3228,82,21041.66065,10611,33.7814,,
1992,11,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,4165,84,23372.61917,11381,27.3041,,
1993,12,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,3870,84,22283.93602,11697,34.6988,,
1994,13,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,4331,85,24208.55479,14714,34.353,,
1995,14,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,4397,85,28413.82644,18706,35.2129,,
1996,15,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,4658,85,27489.55518,18740,42.5506,1.71,1.37
1997,16,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,6199,86,24820.93805,17337,54.1867,1.78,1.31
1998,17,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,9929,85,25338.44329,17899,94.395,1.84,1.25
1999,18,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,11011,86,25244.27505,21756,71.3265,1.79,1.3
2000,19,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,14787,87,23041.53473,17973,77.2553,1.73,1.34
2001,20,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,15623,87,22995.15752,22589,70.1116,1.86,1.36
2002,21,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,9777,86,24887.56133,25727,49.6024,1.98,1.37
2003,22,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,11239,87,30587.66841,27415,54.6826,1.93,1.37
2004,23,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,12581,87,35364.37533,41840,74.1438,1.88,1.33
2005,24,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,10024,87,36795.97688,49306,74.8192,1.71,1.27
2006,25,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,11691,88,38672.70594,51862,97.1195,1.75,1.24
2007,26,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,23471,89,44262.896,62491,81.976,1.61,1.33
2008,27,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,23379,89,48106.89292,65279,32.4555,1.39,1.35
2009,28,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,36292,89,44583.54481,46610,53.9671,1.57,1.38
2010,29,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,69565,89,44141.87814,43975,55.8739,1.58,1.39
2011,30,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,78767,89,47348.52502,50984,43.8769,1.66,1.42
2012,31,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,102705,89,44673.11588,49144,60.3645,1.6,1.43
2013,32,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,91413,89,46744.66254,51966,71.759,1.61,1.44
2014,33,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,97038,90,47700.54036,48242,70.7951,1.38,1.52
2015,34,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,88121,90,40991.80814,48096,89.7018,1.44,1.46
2016,35,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,94462,90,41984.10303,49692,79.4856,1.33,1.39
2017,36,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,76009,90,44192.62303,53645,87.0888,1.18,1.34
2018,37,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,64661,90,47583.07494,61271,59.0534,1.17,1.37
2019,38,Belgium,3,Europe,1,Bruxelles-Brussel,50.8467,4.3499,65918,,46420.66377,63157,,1.03,1.36
