year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,,77,11804.43289,1155,9.179,,
1983,2,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,,77,11857.89214,1275,17.4079,,
1984,3,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,,77,11562.91908,1263,12.8383,,
1985,4,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,,79,12253.10021,1383,24.093,,
1986,5,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,,78,17201.08881,1164,19.7116,,
1987,6,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,498,78,21340.72786,1120,18.5902,,
1988,7,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,588,79,22527.04673,1182,23.2655,,
1989,8,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,656,77,21901.05475,1454,35.7835,,
1990,9,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,819,78,26891.44645,1726,28.2555,,
1991,10,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,448,80,27011.37746,1940,32.1728,,
1992,11,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,571,81,29569.66036,1676,21.2462,,
1993,12,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,1110,81,27597.97523,1735,27.8873,,
1994,13,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,2429,82,29995.57962,2030,30.099,,
1995,14,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,3444,83,35351.36546,2161,30.3891,,
1996,15,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,2626,83,35650.71409,2554,37.8822,1.76,1.82
1997,16,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,2858,84,32835.93994,2385,54.036,1.87,1.85
1998,17,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,3294,84,33368.14242,2764,55.8644,1.98,1.88
1999,18,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,5215,84,33440.79481,3846,54.7594,1.98,1.86
2000,19,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,4025,86,30743.54768,5270,68.1162,1.98,1.84
2001,20,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,1857,87,30751.65435,5160,51.6686,2.03,1.88
2002,21,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,4215,86,33228.69354,6184,42.9646,2.09,1.92
2003,22,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,4531,86,40458.7774,5597,55.774,2.15,1.96
2004,23,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,5064,86,46511.59833,6815,60.2093,2.31,1.95
2005,24,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,6117,87,48799.8256,6914,62.5294,2.12,1.95
2006,25,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,6726,87,52026.99951,5849,72.7997,2.23,2
2007,26,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,5761,89,58487.05497,8950,83.0217,2.35,2.01
2008,27,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,5537,88,64322.0635,10481,61.6847,2.25,1.97
2009,28,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,6806,87,58163.27688,13053,48.9679,2.23,1.92
2010,29,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,7772,88,58041.39844,11802,64.4109,2.1,1.9
2011,30,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,7470,88,61753.64713,14942,62.4303,2.1,1.92
2012,31,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,7732,87,58507.50805,14306,61.1841,1.98,1.87
2013,32,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,9913,87,61191.1937,13397,,1.99,1.9
2014,33,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,13322,88,62548.98473,16497,,1.82,2.1
2015,34,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,14509,88,53254.85637,15794,,1.85,2.04
2016,35,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,18920,88,54663.99837,16909,,1.88,1.91
2017,36,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,18617,88,57610.09818,12107,,1.8,1.86
2018,37,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,20654,88,61598.5367,9498,,1.87,1.83
2019,38,Denmark,4,Europe,1,København (Copenhagen),55.6759,12.5655,23870,,60170.34264,8992,,1.94,1.9
