year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1,France,6,Europe,1,Paris,48.8534,2.3488,5708,73,10496.92987,7391,5.068743151,,
1983,2,France,6,Europe,1,Paris,48.8534,2.3488,5726,75,9993.422074,6613,6.812248535,,
1984,3,France,6,Europe,1,Paris,48.8534,2.3488,6591,75,9419.697648,6434,7.736850372,,
1985,4,France,6,Europe,1,Paris,48.8534,2.3488,6670,76,9763.32861,7747,14.29950044,,
1986,5,France,6,Europe,1,Paris,48.8534,2.3488,7709,74,13540.24708,9323,19.90241152,,
1987,6,France,6,Europe,1,Paris,48.8534,2.3488,10137,73,16302.4414,12335,16.65413142,,
1988,7,France,6,Europe,1,Paris,48.8534,2.3488,13233,73,17679.997,13576,21.87694036,,
1989,8,France,6,Europe,1,Paris,48.8534,2.3488,15365,74,17694.30535,16443,32.9840584,,
1990,9,France,6,Europe,1,Paris,48.8534,2.3488,18650,74,21793.84265,19164,24.55816859,,
1991,10,France,6,Europe,1,Paris,48.8534,2.3488,25078,77,21675.06425,21569,28.22028198,,
1992,11,France,6,Europe,1,Paris,48.8534,2.3488,23918,78,23813.71184,25157,23.35839884,,
1993,12,France,6,Europe,1,Paris,48.8534,2.3488,30304,79,22380.10396,24312,34.47117993,,
1994,13,France,6,Europe,1,Paris,48.8534,2.3488,32950,79,23496.52332,27322,32.46243756,,
1995,14,France,6,Europe,1,Paris,48.8534,2.3488,36167,79,26890.21988,33358,31.22510757,,
1996,15,France,6,Europe,1,Paris,48.8534,2.3488,43253,78,26871.82902,35200,36.4903401,1.25,1.48
1997,16,France,6,Europe,1,Paris,48.8534,2.3488,50141,80,24228.94235,36630,46.41831859,1.38,1.44
1998,17,France,6,Europe,1,Paris,48.8534,2.3488,59925,81,24974.2722,42328,65.54596313,1.51,1.4
1999,18,France,6,Europe,1,Paris,48.8534,2.3488,89945,81,24673.19897,43120,100.6903324,1.61,1.43
2000,19,France,6,Europe,1,Paris,48.8534,2.3488,125740,83,22364.02939,42628,106.1945491,1.71,1.46
2001,20,France,6,Europe,1,Paris,48.8534,2.3488,154984,83,22433.55571,40125,85.33909131,1.66,1.35
2002,21,France,6,Europe,1,Paris,48.8534,2.3488,133914,83,24177.33517,43348,64.7141602,1.6,1.24
2003,22,France,6,Europe,1,Paris,48.8534,2.3488,136434,83,29568.38595,51229,73.67234316,1.71,1.37
2004,23,France,6,Europe,1,Paris,48.8534,2.3488,137927,84,33741.26515,63359,73.69089994,1.78,1.44
2005,24,France,6,Europe,1,Paris,48.8534,2.3488,114260,84,34760.18777,60526,80.07341687,1.67,1.42
2006,25,France,6,Europe,1,Paris,48.8534,2.3488,147799,84,36443.62344,63008,104.72951,1.63,1.47
2007,26,France,6,Europe,1,Paris,48.8534,2.3488,141487,86,41508.43399,74179,103.1283888,1.47,1.47
2008,27,France,6,Europe,1,Paris,48.8534,2.3488,141922,86,45334.11444,84409,50.4528338,1.58,1.51
2009,28,France,6,Europe,1,Paris,48.8534,2.3488,158924,85,41575.41875,90879,72.34291202,1.48,1.45
2010,29,France,6,Europe,1,Paris,48.8534,2.3488,189763,86,40638.334,78320,72.33438594,1.43,1.52
2011,30,France,6,Europe,1,Paris,48.8534,2.3488,197785,86,43790.73205,76283,54.3074199,1.36,1.45
2012,31,France,6,Europe,1,Paris,48.8534,2.3488,214712,87,40874.70351,75185,67.37356416,1.34,1.45
2013,32,France,6,Europe,1,Paris,48.8534,2.3488,197338,87,42592.93409,78667,81.85775829,1.48,1.43
2014,33,France,6,Europe,1,Paris,48.8534,2.3488,202682,88,43011.2631,77738,73.13375081,1.4,1.47
2015,34,France,6,Europe,1,Paris,48.8534,2.3488,233547,87,36638.18493,81274,85.64968201,1.44,1.41
2016,35,France,6,Europe,1,Paris,48.8534,2.3488,255595,88,37037.37419,72926,87.36532065,1.41,1.41
2017,36,France,6,Europe,1,Paris,48.8534,2.3488,266570,87,38812.16103,78632,105.9404457,1.35,1.44
2018,37,France,6,Europe,1,Paris,48.8534,2.3488,268169,88,41631.09074,68035,84.86605773,1.48,1.44
2019,38,France,6,Europe,1,Paris,48.8534,2.3488,282226,,40493.92857,83826,,1.38,1.41
