year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1,Germany,7,Europe,1,Berlin,52.5244,13.4105,9850,72,9913.737642,15463,8.879110481,,
1983,2,Germany,7,Europe,1,Berlin,52.5244,13.4105,10845,72,9864.34494,15451,10.75271904,,
1984,3,Germany,7,Europe,1,Berlin,52.5244,13.4105,12330,72,9313.169412,15055,10.80774621,,
1985,4,Germany,7,Europe,1,Berlin,52.5244,13.4105,14816,73,9429.569217,17176,24.33793027,,
1986,5,Germany,7,Europe,1,Berlin,52.5244,13.4105,17250,73,13461.831,21476,24.62842926,,
1987,6,Germany,7,Europe,1,Berlin,52.5244,13.4105,21905,73,16677.51079,25128,16.82849338,,
1988,7,Germany,7,Europe,1,Berlin,52.5244,13.4105,25250,72,17931.28232,22784,17.90330371,,
1989,8,Germany,7,Europe,1,Berlin,52.5244,13.4105,28386,71,17764.37645,23673,26.10321373,,
1990,9,Germany,7,Europe,1,Berlin,52.5244,13.4105,28232,74,22303.96133,27609,20.05511963,,
1991,10,Germany,7,Europe,1,Berlin,52.5244,13.4105,29335,76,23357.75773,32411,19.82991264,,
1992,11,Germany,7,Europe,1,Berlin,52.5244,13.4105,29419,77,26438.23039,33003,15.42017566,,
1993,12,Germany,7,Europe,1,Berlin,52.5244,13.4105,34987,77,25522.62957,36811,21.32434495,,
1994,13,Germany,7,Europe,1,Berlin,52.5244,13.4105,39630,77,27076.60675,38878,22.63832924,,
1995,14,Germany,7,Europe,1,Berlin,52.5244,13.4105,46017,77,31658.34938,44242,22.32869692,,
1996,15,Germany,7,Europe,1,Berlin,52.5244,13.4105,61096,78,30485.86655,41281,26.62067257,1.72,1.61
1997,16,Germany,7,Europe,1,Berlin,52.5244,13.4105,68838,80,26964.04947,40726,37.30726136,1.8,1.64
1998,17,Germany,7,Europe,1,Berlin,52.5244,13.4105,93289,80,27289.05936,47685,48.87257832,1.88,1.66
1999,18,Germany,7,Europe,1,Berlin,52.5244,13.4105,112126,81,26725.91522,53399,65.2704531,1.88,1.65
2000,19,Germany,7,Europe,1,Berlin,52.5244,13.4105,122412,84,23635.92922,55508,65.37046483,1.89,1.64
2001,20,Germany,7,Europe,1,Berlin,52.5244,13.4105,162314,84,23607.88286,63396,55.12806235,1.8,1.65
2002,21,Germany,7,Europe,1,Berlin,52.5244,13.4105,138301,83,25077.72908,61073,33.1627931,1.72,1.67
2003,22,Germany,7,Europe,1,Berlin,52.5244,13.4105,160691,84,30243.57653,72262,43.22798956,1.42,1.67
2004,23,Germany,7,Europe,1,Berlin,52.5244,13.4105,164921,85,34044.05363,79467,42.52178202,1.49,1.64
2005,24,Germany,7,Europe,1,Berlin,52.5244,13.4105,177176,86,34507.36881,100473,42.24243143,1.51,1.66
2006,25,Germany,7,Europe,1,Berlin,52.5244,13.4105,205969,86,36323.44774,93620,54.7293486,1.65,1.78
2007,26,Germany,7,Europe,1,Berlin,52.5244,13.4105,187815,88,41587.2129,100601,61.5333771,1.64,1.77
2008,27,Germany,7,Europe,1,Berlin,52.5244,13.4105,173843,87,45427.15168,107833,29.77403066,1.52,1.75
2009,28,Germany,7,Europe,1,Berlin,52.5244,13.4105,183966,87,41485.90165,110149,38.03516137,1.58,1.66
2010,29,Germany,7,Europe,1,Berlin,52.5244,13.4105,203077,87,41531.9342,103319,42.09570081,1.57,1.63
2011,30,Germany,7,Europe,1,Berlin,52.5244,13.4105,213601,87,46644.77603,119648,31.63383823,1.55,1.62
2012,31,Germany,7,Europe,1,Berlin,52.5244,13.4105,197438,87,43858.36306,121072,42.1369283,1.59,1.66
2013,32,Germany,7,Europe,1,Berlin,52.5244,13.4105,213256,87,46285.76407,111724,51.86818456,1.54,1.65
2014,33,Germany,7,Europe,1,Berlin,52.5244,13.4105,251009,88,47959.99327,114421,44.76248199,1.73,1.86
2015,34,Germany,7,Europe,1,Berlin,52.5244,13.4105,281295,88,41086.72967,120519,51.12276494,1.74,1.79
2016,35,Germany,7,Europe,1,Berlin,52.5244,13.4105,277209,88,42107.51727,129985,49.48932931,1.73,1.62
2017,36,Germany,7,Europe,1,Berlin,52.5244,13.4105,298754,89,44552.81937,132595,61.42999638,1.72,1.61
2018,37,Germany,7,Europe,1,Berlin,52.5244,13.4105,328124,89,47810.50767,137148,44.28041701,1.62,1.63
2019,38,Germany,7,Europe,1,Berlin,52.5244,13.4105,372879,,46445.2491,148259,54.34102013,1.59,1.62
