year,year_id,countries,country_id,regions,region_id,capital,latitude,longitude,fdi_in_usa_million,globalization_100,gdp_per_capita_usd,fdi_by_usa_million,stock_market_capitalization_gdp,government_effectiveness ,rule_of_law
1982,1,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,,72,6168.016444,2031,,,
1983,2,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,,73,5922.325841,2517,,,
1984,3,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,,73,5698.844161,2964,,,
1985,4,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,,74,6018.935108,3762,,,
1986,5,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,,74,8121.886183,4412,,,
1987,6,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,544,74,9593.388228,5530,,,
1988,7,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,725,73,10728.70364,6063,,,
1989,8,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,1416,72,11189.20075,4665,,,
1990,9,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,1340,72,14048.10628,5894,,,
1991,10,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,1863,74,14104.07843,6471,,,
1992,11,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,1818,75,15733.20383,7607,,,
1993,12,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,4771,76,14674.61441,9019,,,
1994,13,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,2974,77,15921.97478,7239,,,
1995,14,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,4749,78,19181.40062,7996,,,
1996,15,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,6437,80,20860.59696,10133,40.0017,1.67,1.5
1997,16,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,10394,81,22542.81071,11339,59.04236175,1.74,1.57
1998,17,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,12198,82,24263.24489,21825,77.34777156,1.8,1.63
1999,18,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,14958,82,26284.34209,25157,69.68459902,1.74,1.6
2000,19,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,25523,83,26241.36461,35903,82.0030286,1.67,1.57
2001,20,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,25632,84,28227.72746,39541,68.99497408,1.65,1.6
2002,21,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,27302,83,32541.09855,51598,46.84451632,1.63,1.63
2003,22,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,23346,83,41106.92515,60604,51.78229341,1.56,1.52
2004,23,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,16446,84,47631.01069,72907,58.84614551,1.54,1.53
2005,24,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,17465,84,50878.22367,55173,53.90346336,1.74,1.6
2006,25,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,25517,84,54306.42932,86372,70.34947026,1.54,1.72
2007,26,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,26089,85,61359.74123,117708,53.31444754,1.56,1.75
2008,27,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,21270,84,61262.10046,150131,17.9937859,1.5,1.72
2009,28,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,21044,85,52105.15248,129829,25.93604103,1.34,1.75
2010,29,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,24097,86,48715.17691,158851,27.17472322,1.35,1.77
2011,30,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,22448,86,51848.9097,184804,45.6445412,1.46,1.76
2012,31,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,17801,86,48917.89761,212411,48.43973768,1.55,1.73
2013,32,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,18981,86,51590.18859,220670,71.31724481,1.49,1.73
2014,33,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,26431,86,55492.98256,273247,55.50539093,1.6,1.78
2015,34,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,55861,86,61995.4228,337831,43.91387049,1.53,1.77
2016,35,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,102251,86,63197.0824,399885,39.87331016,1.33,1.52
2017,36,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,157846,86,69822.34708,457301,43.66107687,1.29,1.43
2018,37,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,265004,86,78621.22793,410636,28.78540643,1.42,1.46
2019,38,Ireland,8,Europe,1,Dublin,53.3331,-6.2489,225517,,78660.95646,354940,,1.28,1.39
